State,PropertyType,ModelType,Scenario,RentGrowth Annual,Inflation Annual,Appreciation Annual,Insurance Yearly,HOA Monthly,Management Fee,Closing Cost Buying,PropertyTaxRate Annual,VacancyRate% Annual,Maintenance% Annual,CapEx% Annual,SellingCost% Annual,Tax Growth 
Illinois,SFH,Rental,Base,3.00%,2.70%,3.00%,"$1,800.00",$0.00,9.00%,3.75%,2.20%,6.00%,9.00%,7.00%,8.00%,3.00%
Illinois,SFH,Rental,Conservative,2.00%,3.20%,2.00%,"$2,100.00",$0.00,9.00%,3.75%,2.20%,8.00%,11.00%,9.00%,8.00%,3.00%
Illinois,SFH,Rental,Aggressive,4.00%,2.30%,4.00%,"$1,500.00",$0.00,9.00%,3.75%,2.20%,5.00%,7.00%,5.00%,8.00%,3.00%
Illinois,SFH,BRRR,Base,3.00%,2.70%,3.00%,"$1,800.00",$0.00,9.00%,3.75%,2.20%,5.00%,10.00%,8.00%,8.00%,3.00%
Illinois,SFH,BRRR,Conservative,2.00%,3.20%,2.00%,"$2,100.00",$0.00,9.00%,3.75%,2.20%,7.00%,12.00%,10.00%,8.00%,3.00%
Illinois,SFH,BRRR,Aggressive,4.00%,2.30%,4.00%,"$1,500.00",$0.00,9.00%,3.75%,2.20%,4.00%,8.00%,6.00%,8.00%,3.00%
Illinois,SFH,Flip,Base,0.00%,2.00%,5.00%,"$1,500.00",$0.00,9.00%,3.75%,2.20%,0.00%,5.00%,0.00%,7.00%,3.00%
Illinois,SFH,Flip,Conservative,0.00%,2.50%,2.00%,"$1,800.00",$0.00,9.00%,3.75%,2.20%,0.00%,7.00%,0.00%,7.00%,3.00%
Illinois,SFH,Flip,Aggressive,0.00%,1.80%,6.50%,"$1,200.00",$0.00,9.00%,3.75%,2.20%,0.00%,4.00%,0.00%,7.00%,3.00%
,,,,,,,,,,,,,,,,
Illinois,Condo,Rental,Base,2.50%,2.70%,3.00%,"$1,000.00",$250.00,8.00%,3.75%,2.00%,5.00%,6.00%,4.00%,8.00%,3.00%
